[ 13-12-2012 @07:42:09 ] | DEBUG | (ScreenOperations.java : 226) =>   ===========Currently in deleteScreen method===========
[ 13-12-2012 @07:42:09 ] | INFO  | (ScreenOperations.java : 230) =>   Screen ID to be deleted is: 2
[ 13-12-2012 @07:42:09 ] | INFO  | (ScreenOperations.java : 248) =>   -----------Delete screen success---------
[ 13-12-2012 @07:42:09 ] | DEBUG | (ScreenOperations.java : 249) =>   ------Numbers of rows affected: 1--------
[ 13-12-2012 @07:42:09 ] | INFO  | (ScreenOperations.java : 113) =>   =============CURRENTLY IN VIEW CINEMA SCREENS BODY============
[ 13-12-2012 @07:42:09 ] | DEBUG | (ScreenOperations.java : 114) =>   ===========Currently in displayScreens method===========
[ 13-12-2012 @07:42:10 ] | INFO  | (ScreenOperations.java : 133) =>   --------View screens success---------
[ 13-12-2012 @07:42:11 ] | INFO  | (ScreenOperations.java : 141) =>   =============CURRENTLY IN MODIFY SELECTED SCREEN BODY============
[ 13-12-2012 @07:42:11 ] | DEBUG | (ScreenOperations.java : 142) =>   ===========Currently in getScreenToModify method===========
[ 13-12-2012 @07:42:11 ] | INFO  | (ScreenOperations.java : 146) =>   Screen ID value: 3
[ 13-12-2012 @07:42:11 ] | INFO  | (ScreenOperations.java : 168) =>   setting Screen ID value as 3
[ 13-12-2012 @07:42:11 ] | INFO  | (ScreenOperations.java : 169) =>   setting Cinema ID value as 1
[ 13-12-2012 @07:42:11 ] | INFO  | (ScreenOperations.java : 170) =>   setting Screen Number value as 3
[ 13-12-2012 @07:42:11 ] | INFO  | (ScreenOperations.java : 171) =>   setting capacity value as 50
[ 13-12-2012 @07:42:11 ] | INFO  | (ScreenOperations.java : 172) =>   --------get screen record success---------
[ 13-12-2012 @07:42:17 ] | INFO  | (ScreenOperations.java : 179) =>   =============CURRENTLY IN MODIFY SELECTED SCREEN BODY============
[ 13-12-2012 @07:42:17 ] | DEBUG | (ScreenOperations.java : 180) =>   ===========Currently in updateModifiedScreen method===========
[ 13-12-2012 @07:42:17 ] | INFO  | (ScreenOperations.java : 194) =>   retrieved Screen ID value as 3
[ 13-12-2012 @07:42:17 ] | INFO  | (ScreenOperations.java : 195) =>   updating Cinema ID value as 1
[ 13-12-2012 @07:42:17 ] | INFO  | (ScreenOperations.java : 196) =>   updating Screen Number value as 3
[ 13-12-2012 @07:42:17 ] | INFO  | (ScreenOperations.java : 197) =>   updating capacity value as 100
[ 13-12-2012 @07:42:17 ] | INFO  | (ScreenOperations.java : 216) =>   -----------Update modified screen success---------
[ 13-12-2012 @07:42:17 ] | DEBUG | (ScreenOperations.java : 217) =>   ------Numbers of rows affected: 1--------
[ 13-12-2012 @07:42:17 ] | INFO  | (ScreenOperations.java : 113) =>   =============CURRENTLY IN VIEW CINEMA SCREENS BODY============
[ 13-12-2012 @07:42:17 ] | DEBUG | (ScreenOperations.java : 114) =>   ===========Currently in displayScreens method===========
[ 13-12-2012 @07:42:17 ] | INFO  | (ScreenOperations.java : 133) =>   --------View screens success---------
[ 13-12-2012 @07:42:22 ] | INFO  | (ScreenOperations.java : 71) =>   =============LOADING ADD SCREEN BODY============
[ 13-12-2012 @07:42:22 ] | DEBUG | (ScreenOperations.java : 72) =>   ===========Currently in screenOpPanel method===========
[ 13-12-2012 @07:42:39 ] | INFO  | (ScreenOperations.java : 78) =>   =============CURRENTLY IN ADD SCREEN BODY============
